combination,attr1_name,attr1_val,attr2_name,attr2_val,attr3_name,attr3_val,attr4_name,attr4_val,attr5_name,attr5_val,pokemon,pokeapi_name_fixed
complexity + fantasy + cuteness + coolness -> beauty,complexity,4,fantasy,1,cuteness,4,coolness,5,beauty,4,standard Sandslash,sandslash
complexity + fantasy + cuteness + coolness -> beauty,complexity,4,fantasy,1,cuteness,5,coolness,2,beauty,2,Female Nidoran,nidoran-f
complexity + fantasy + cuteness + coolness -> beauty,complexity,5,fantasy,1,cuteness,5,coolness,4,beauty,2,Nidorina,nidorina
complexity + fantasy + cuteness + coolness -> beauty,complexity,3,fantasy,3,cuteness,2,coolness,3,beauty,4,Nidoqueen,nidoqueen
complexity + fantasy + cuteness + coolness -> beauty,complexity,3,fantasy,2,cuteness,5,coolness,5,beauty,2,Male Nidoran,nidoran-m
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,3,cuteness,2,coolness,5,beauty,2,Nidorino,nidorino
complexity + fantasy + cuteness + coolness -> beauty,complexity,4,fantasy,2,cuteness,2,coolness,5,beauty,2,Nidoking,nidoking
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,5,cuteness,5,coolness,2,beauty,4,Clefairy,clefairy
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,5,cuteness,2,coolness,1,beauty,4,Clefable,clefable
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,4,cuteness,5,coolness,5,beauty,4,Alolan Vulpix,vulpix-alola
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,3,cuteness,5,coolness,4,beauty,4,standard Vulpix,vulpix
complexity + fantasy + cuteness + coolness -> beauty,complexity,3,fantasy,5,cuteness,5,coolness,5,beauty,4,Alolan Ninetales,ninetales-alola
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,4,cuteness,4,coolness,5,beauty,4,standard Ninetales,ninetales
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,4,cuteness,4,coolness,2,beauty,4,Jigglypuff,jigglypuff
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,4,cuteness,3,coolness,2,beauty,4,Wigglytuff,wigglytuff
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,2,cuteness,2,coolness,3,beauty,2,Zubat,zubat
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,2,cuteness,1,coolness,4,beauty,2,Golbat,golbat
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,3,cuteness,5,coolness,2,beauty,2,Oddish,oddish
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,4,cuteness,2,coolness,1,beauty,2,Gloom,gloom
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,3,cuteness,3,coolness,3,beauty,4,Vileplume,vileplume
complexity + fantasy + cuteness + coolness -> beauty,complexity,3,fantasy,2,cuteness,3,coolness,2,beauty,2,Paras,paras
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,2,cuteness,1,coolness,3,beauty,4,Parasect,parasect
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,3,cuteness,5,coolness,2,beauty,2,Venonat,venonat
complexity + fantasy + cuteness + coolness -> beauty,complexity,3,fantasy,1,cuteness,2,coolness,2,beauty,4,Venomoth,venomoth
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,2,cuteness,3,coolness,1,beauty,2,Alolan Diglett,diglett-alola
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,2,cuteness,4,coolness,2,beauty,2,standard Diglett,diglett
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,4,cuteness,1,coolness,1,beauty,4,Alolan Dugtrio,dugtrio-alola
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,2,cuteness,1,coolness,2,beauty,4,standard Dugtrio,dugtrio
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,2,cuteness,2,coolness,3,beauty,4,Alolan Meowth,meowth-alola
complexity + fantasy + cuteness + coolness -> beauty,complexity,4,fantasy,2,cuteness,3,coolness,2,beauty,2,Galarian Meowth,meowth-galar
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,4,cuteness,3,coolness,3,beauty,2,Gigantamax Meowth,meowth-gmax
complexity + fantasy + cuteness + coolness -> beauty,complexity,4,fantasy,1,cuteness,5,coolness,4,beauty,2,standard Meowth,meowth
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,2,cuteness,2,coolness,2,beauty,2,Alolan Persian,persian-alola
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,1,cuteness,3,coolness,4,beauty,4,standard Persian,persian
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,1,cuteness,5,coolness,3,beauty,2,Psyduck,psyduck
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,3,cuteness,1,coolness,3,beauty,4,Golduck,golduck
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,1,cuteness,2,coolness,4,beauty,2,Mankey,mankey
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,2,cuteness,1,coolness,5,beauty,2,Primeape,primeape
complexity + fantasy + cuteness + coolness -> beauty,complexity,4,fantasy,2,cuteness,5,coolness,4,beauty,4,Hisuian Growlithe,growlithe-hisui
complexity + fantasy + cuteness + coolness -> beauty,complexity,4,fantasy,1,cuteness,5,coolness,5,beauty,4,standard Growlithe,growlithe
complexity + fantasy + cuteness + coolness -> beauty,complexity,5,fantasy,3,cuteness,5,coolness,5,beauty,4,Hisuian Arcanine,arcanine-hisui
complexity + fantasy + cuteness + coolness -> beauty,complexity,3,fantasy,2,cuteness,4,coolness,5,beauty,4,standard Arcanine,arcanine
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,2,cuteness,4,coolness,1,beauty,4,Poliwag,poliwag
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,3,cuteness,4,coolness,4,beauty,2,Poliwhirl,poliwhirl
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,3,cuteness,2,coolness,4,beauty,2,Poliwrath,poliwrath
complexity + fantasy + cuteness + coolness -> beauty,complexity,3,fantasy,4,cuteness,5,coolness,4,beauty,2,Abra,abra
complexity + fantasy + cuteness + coolness -> beauty,complexity,3,fantasy,4,cuteness,1,coolness,3,beauty,4,Kadabra,kadabra
complexity + fantasy + cuteness + coolness -> beauty,complexity,3,fantasy,5,cuteness,1,coolness,2,beauty,4,Mega Alakazam,alakazam-mega
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,5,cuteness,1,coolness,3,beauty,4,standard Alakazam,alakazam
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,2,cuteness,3,coolness,4,beauty,2,Machop,machop
complexity + fantasy + cuteness + coolness -> beauty,complexity,3,fantasy,1,cuteness,1,coolness,5,beauty,2,Machoke,machoke
complexity + fantasy + cuteness + coolness -> beauty,complexity,4,fantasy,3,cuteness,1,coolness,4,beauty,2,Gigantamax Machamp,machamp-gmax
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,3,cuteness,1,coolness,5,beauty,2,standard Machamp,machamp
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,3,cuteness,4,coolness,2,beauty,2,Bellsprout,bellsprout
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,3,cuteness,1,coolness,1,beauty,2,Weepinbell,weepinbell
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,2,cuteness,1,coolness,4,beauty,2,Victreebel,victreebel
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,2,cuteness,2,coolness,3,beauty,2,Tentacool,tentacool
complexity + fantasy + cuteness + coolness -> beauty,complexity,4,fantasy,2,cuteness,1,coolness,4,beauty,2,Tentacruel,tentacruel
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,4,cuteness,1,coolness,2,beauty,2,Alolan Geodude,geodude-alola
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,3,cuteness,2,coolness,3,beauty,2,standard Geodude,geodude
complexity + fantasy + cuteness + coolness -> beauty,complexity,4,fantasy,2,cuteness,1,coolness,1,beauty,2,Alolan Graveler,graveler-alola
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,3,cuteness,1,coolness,3,beauty,2,standard Graveler,graveler
complexity + fantasy + cuteness + coolness -> beauty,complexity,4,fantasy,3,cuteness,1,coolness,3,beauty,2,Alolan Golem,golem-alola
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,3,cuteness,1,coolness,4,beauty,2,standard Golem,golem
complexity + fantasy + cuteness + coolness -> beauty,complexity,3,fantasy,5,cuteness,5,coolness,2,beauty,4,Galarian Ponyta,ponyta-galar
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,4,cuteness,4,coolness,4,beauty,4,standard Ponyta,ponyta
complexity + fantasy + cuteness + coolness -> beauty,complexity,3,fantasy,5,cuteness,3,coolness,3,beauty,4,Galarian Rapidash,rapidash-galar
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,4,cuteness,3,coolness,4,beauty,4,standard Rapidash,rapidash
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,2,cuteness,5,coolness,2,beauty,2,Galarian Slowpoke,slowpoke-galar
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,2,cuteness,4,coolness,3,beauty,2,standard Slowpoke,slowpoke
complexity + fantasy + cuteness + coolness -> beauty,complexity,3,fantasy,4,cuteness,4,coolness,4,beauty,2,Galarian Slowbro,slowbro-galar
complexity + fantasy + cuteness + coolness -> beauty,complexity,4,fantasy,4,cuteness,4,coolness,1,beauty,2,Mega Slowbro,slowbro-mega
complexity + fantasy + cuteness + coolness -> beauty,complexity,5,fantasy,3,cuteness,5,coolness,1,beauty,2,standard Slowbro,slowbro
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,4,cuteness,2,coolness,3,beauty,4,Magnemite,magnemite
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,3,cuteness,2,coolness,3,beauty,4,Magneton,magneton
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,2,cuteness,2,coolness,5,beauty,4,Galarian Farfetch’d,farfetchd-galar
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,1,cuteness,2,coolness,3,beauty,4,standard Farfetch’d,farfetchd
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,2,cuteness,2,coolness,2,beauty,4,Doduo,doduo
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,3,cuteness,1,coolness,3,beauty,4,Dodrio,dodrio
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,1,cuteness,5,coolness,1,beauty,2,Seel,seel
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,1,cuteness,4,coolness,3,beauty,4,Dewgong,dewgong
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,5,cuteness,2,coolness,2,beauty,2,Alolan Grimer,grimer-alola
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,4,cuteness,2,coolness,2,beauty,2,standard Grimer,grimer
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,4,cuteness,1,coolness,3,beauty,2,Alolan Muk,muk-alola
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,4,cuteness,1,coolness,3,beauty,2,standard Muk,muk
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,2,cuteness,4,coolness,2,beauty,2,Shellder,shellder
complexity + fantasy + cuteness + coolness -> beauty,complexity,3,fantasy,2,cuteness,1,coolness,3,beauty,4,Cloyster,cloyster
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,5,cuteness,3,coolness,4,beauty,2,Gastly,gastly
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,5,cuteness,2,coolness,5,beauty,2,Haunter,haunter
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,5,cuteness,2,coolness,4,beauty,2,Gigantamax Gengar,gengar-gmax
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,5,cuteness,2,coolness,4,beauty,4,Mega Gengar,gengar-mega
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,5,cuteness,3,coolness,5,beauty,4,standard Gengar,gengar
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,4,cuteness,1,coolness,4,beauty,2,Onix,onix
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,4,cuteness,1,coolness,1,beauty,2,Drowzee,drowzee
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,4,cuteness,1,coolness,2,beauty,2,Hypno,hypno
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,1,cuteness,3,coolness,4,beauty,2,Krabby,krabby
complexity + fantasy + cuteness + coolness -> beauty,complexity,5,fantasy,2,cuteness,2,coolness,3,beauty,2,Gigantamax Kingler,kingler-gmax
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,1,cuteness,2,coolness,4,beauty,2,standard Kingler,kingler
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,4,cuteness,2,coolness,2,beauty,4,Hisuian Voltorb,voltorb-hisui
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,3,cuteness,1,coolness,3,beauty,2,standard Voltorb,voltorb
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,5,cuteness,2,coolness,2,beauty,2,Gholdengo,gholdengo
complexity + fantasy + cuteness + coolness -> beauty,complexity,5,fantasy,5,cuteness,4,coolness,2,beauty,2,Wo-Chien,wo-chien
complexity + fantasy + cuteness + coolness -> beauty,complexity,4,fantasy,4,cuteness,4,coolness,5,beauty,4,Chien-Pao,chien-pao
complexity + fantasy + cuteness + coolness -> beauty,complexity,3,fantasy,4,cuteness,1,coolness,2,beauty,4,Ting-Lu,ting-lu
complexity + fantasy + cuteness + coolness -> beauty,complexity,3,fantasy,5,cuteness,4,coolness,4,beauty,4,Chi-Yu,chi-yu
complexity + fantasy + cuteness + coolness -> beauty,complexity,5,fantasy,3,cuteness,1,coolness,4,beauty,4,Roaring Moon,roaring-moon
complexity + fantasy + cuteness + coolness -> beauty,complexity,5,fantasy,4,cuteness,3,coolness,5,beauty,4,Iron Valiant,iron-valiant
complexity + fantasy + cuteness + coolness -> beauty,complexity,5,fantasy,4,cuteness,3,coolness,4,beauty,4,Koraidon,koraidon-apex-build
complexity + fantasy + cuteness + coolness -> beauty,complexity,5,fantasy,5,cuteness,3,coolness,5,beauty,4,Miraidon,miraidon-ultimate-mode
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,4,cuteness,2,coolness,3,beauty,2,Hisuian Electrode,electrode-hisui
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,3,cuteness,1,coolness,2,beauty,2,standard Electrode,electrode
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,2,cuteness,2,coolness,2,beauty,2,Exeggcute,exeggcute
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,4,cuteness,2,coolness,4,beauty,2,Alolan Exeggutor,exeggutor-alola
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,4,cuteness,1,coolness,1,beauty,4,standard Exeggutor,exeggutor
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,3,cuteness,5,coolness,5,beauty,2,Cubone,cubone
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,4,cuteness,2,coolness,5,beauty,4,Alolan Marowak,marowak-alola
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,3,cuteness,2,coolness,5,beauty,2,standard Marowak,marowak
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,3,cuteness,1,coolness,4,beauty,2,Hitmonlee,hitmonlee
complexity + fantasy + cuteness + coolness -> beauty,complexity,3,fantasy,1,cuteness,1,coolness,4,beauty,2,Hitmonchan,hitmonchan
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,5,cuteness,2,coolness,1,beauty,2,Lickitung,lickitung
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,5,cuteness,1,coolness,2,beauty,2,Koffing,koffing
complexity + fantasy + cuteness + coolness -> beauty,complexity,3,fantasy,5,cuteness,1,coolness,1,beauty,2,Galarian Weezing,weezing-galar
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,5,cuteness,1,coolness,2,beauty,2,standard Weezing,weezing
complexity + fantasy + cuteness + coolness -> beauty,complexity,4,fantasy,1,cuteness,3,coolness,5,beauty,2,Rhyhorn,rhyhorn
complexity + fantasy + cuteness + coolness -> beauty,complexity,3,fantasy,2,cuteness,1,coolness,4,beauty,4,Rhydon,rhydon
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,4,cuteness,3,coolness,1,beauty,4,Chansey,chansey
complexity + fantasy + cuteness + coolness -> beauty,complexity,3,fantasy,4,cuteness,5,coolness,2,beauty,2,Tangela,tangela
complexity + fantasy + cuteness + coolness -> beauty,complexity,5,fantasy,1,cuteness,5,coolness,5,beauty,2,Mega Kangaskhan,kangaskhan-mega
complexity + fantasy + cuteness + coolness -> beauty,complexity,4,fantasy,1,cuteness,4,coolness,5,beauty,2,standard Kangaskhan,kangaskhan
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,1,cuteness,4,coolness,2,beauty,4,Horsea,horsea
complexity + fantasy + cuteness + coolness -> beauty,complexity,3,fantasy,1,cuteness,2,coolness,4,beauty,4,Seadra,seadra
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,2,cuteness,1,coolness,1,beauty,4,Goldeen,goldeen
complexity + fantasy + cuteness + coolness -> beauty,complexity,4,fantasy,1,cuteness,1,coolness,1,beauty,4,Seaking,seaking
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,3,cuteness,2,coolness,3,beauty,4,Staryu,staryu
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,4,cuteness,2,coolness,3,beauty,4,Starmie,starmie
complexity + fantasy + cuteness + coolness -> beauty,complexity,3,fantasy,4,cuteness,2,coolness,1,beauty,2,standard Mr. Mime,mr-mime
complexity + fantasy + cuteness + coolness -> beauty,complexity,4,fantasy,3,cuteness,2,coolness,1,beauty,2,Galarian Mr. Mime,mr-mime-galar
complexity + fantasy + cuteness + coolness -> beauty,complexity,3,fantasy,2,cuteness,1,coolness,5,beauty,4,Scyther,scyther
complexity + fantasy + cuteness + coolness -> beauty,complexity,3,fantasy,4,cuteness,1,coolness,1,beauty,2,Jynx,jynx
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,4,cuteness,1,coolness,4,beauty,2,Electabuzz,electabuzz
complexity + fantasy + cuteness + coolness -> beauty,complexity,4,fantasy,4,cuteness,1,coolness,1,beauty,2,Magmar,magmar
complexity + fantasy + cuteness + coolness -> beauty,complexity,5,fantasy,2,cuteness,1,coolness,4,beauty,2,Mega Pinsir,pinsir-mega
complexity + fantasy + cuteness + coolness -> beauty,complexity,3,fantasy,2,cuteness,1,coolness,4,beauty,2,standard Pinsir,pinsir
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,2,cuteness,1,coolness,3,beauty,4,Paldean Tauros Aqua Breed,tauros-paldea-aqua-breed
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,2,cuteness,1,coolness,5,beauty,4,Paldean Tauros Blaze Breed,tauros-paldea-blaze-breed
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,1,cuteness,1,coolness,3,beauty,4,Paldean Tauros Combat Breed,tauros-paldea-combat-breed
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,1,cuteness,1,coolness,4,beauty,4,standard Tauros,tauros
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,1,cuteness,3,coolness,1,beauty,2,Magikarp,magikarp
complexity + fantasy + cuteness + coolness -> beauty,complexity,5,fantasy,3,cuteness,1,coolness,5,beauty,4,Mega Gyarados,gyarados-mega
complexity + fantasy + cuteness + coolness -> beauty,complexity,3,fantasy,4,cuteness,1,coolness,5,beauty,2,standard Gyarados,gyarados
complexity + fantasy + cuteness + coolness -> beauty,complexity,5,fantasy,5,cuteness,4,coolness,2,beauty,4,Gigantamax Lapras,lapras-gmax
complexity + fantasy + cuteness + coolness -> beauty,complexity,4,fantasy,3,cuteness,5,coolness,5,beauty,4,standard Lapras,lapras
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,4,cuteness,5,coolness,4,beauty,2,Ditto,ditto
complexity + fantasy + cuteness + coolness -> beauty,complexity,3,fantasy,3,cuteness,5,coolness,3,beauty,4,Gigantamax Eevee,eevee-gmax
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,1,cuteness,5,coolness,4,beauty,4,standard Eevee,eevee
complexity + fantasy + cuteness + coolness -> beauty,complexity,3,fantasy,4,cuteness,5,coolness,4,beauty,4,Vaporeon,vaporeon
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,3,cuteness,4,coolness,5,beauty,4,Jolteon,jolteon
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,2,cuteness,4,coolness,5,beauty,4,Flareon,flareon
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,4,cuteness,4,coolness,5,beauty,2,Porygon,porygon
